Revised Common Lectionary
Scripture Citations for Year B - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2026-27/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Wednesday of Holy Week","Mar 24, 2027","Isaiah 50:4-9a","Psalm 70","Hebrews 12:1-3","John 13:21-32",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly03,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week3
"Maundy Thursday","Mar 25, 2027","Exodus 12:1-4, (5-10), 11-14","Psalm 116:1-2, 12-19","1 Corinthians 11:23-26","John 13:1-17, 31b-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly04,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week4
"Good Friday","Mar 26, 2027","Isaiah 52:13-53:12","Psalm 22","Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9","John 18:1-19:42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly05,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week5
"Holy Saturday","Mar 27, 2027","Job 14:1-14 or Lamentations 3:1-9, 19-24","Psalm 31:1-4, 15-16","1 Peter 4:1-8","Matthew 27:57-66 or John 19:38-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly06,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week6
"Easter Vigil","Mar 27, 2027","Old Testament Readings and Psalms - Genesis 1:1-2:4a and Psalm 136:1-9, 23-26 - Genesis 7:1-5, 11-18; 8:6-18; 9:8-13 and Psalm 46 - Genesis 22:1-18 and Psalm 16 - Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13, 17-18 - Isaiah 55:1-11 and Isaiah 12:2-6 - Baruch 3:9-15, 3:32-4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 and Psalm 19 - Ezekiel 36:24-28 and Psalm 42 and 43 - Ezekiel 37:1-14 and Psalm 143 - Zephaniah 3:14-20 and Psalm 98 - New Testament Reading and Psalm - Romans 6:3-11 and Psalm 114 - Gospel - Mark 16:1-8",,,,http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BVigl,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter0
"Resurrection of the Lord","Mar 28, 2027","* Acts 10:34-43 or Isaiah 25:6-9","Psalm 118:1-2, 14-24","1 Corinthians 15:1-11 or Acts 10:34-43","John 20:1-18 or Mark 16:1-8",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BRess,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter1
"Easter Evening","Mar 28, 2027","* Isaiah 25:6-9","Psalm 114","1 Corinthians 5:6b-8","Luke 24:13-49",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BRess,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter2
"Second Sunday of Easter","Apr 04, 2027","* Acts 4:32-35","Psalm 133","1 John 1:1-2:2","John 20:19-31",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast02,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter3
"Third Sunday of Easter","Apr 11, 2027","* Acts 3:12-19","Psalm 4","1 John 3:1-7","Luke 24:36b-48",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast03,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter4
"Fourth Sunday of Easter","Apr 18, 2027","* Acts 4:5-12","Psalm 23","1 John 3:16-24","John 10:11-18",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast04,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter5
