Revised Common Lectionary
Scripture Citations for Year A - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2025-26/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Good Friday","Apr 03, 2026","Isaiah 52:13-53:12","Psalm 22","Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9","John 18:1-19:42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly05,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week5
"Holy Saturday","Apr 04, 2026","Job 14:1-14 or Lamentations 3:1-9, 19-24","Psalm 31:1-4, 15-16","1 Peter 4:1-8","Matthew 27:57-66 or John 19:38-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly06,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week6
"Easter Vigil","Apr 05, 2026","Old Testament Readings and Psalms - Genesis 1:1-2:4a and Psalm 136:1-9, 23-26 - Genesis 7:1-5, 11-18; 8:6-18; 9:8-13 and Psalm 46 - Genesis 22:1-18 and Psalm 16 - Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13, 17-18 - Isaiah 55:1-11 and Isaiah 12:2-6 - Baruch 3:9-15, 3:32-4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 and Psalm 19 - Ezekiel 36:24-28 and Psalm 42 and 43 - Ezekiel 37:1-14 and Psalm 143 - Zephaniah 3:14-20 and Psalm 98 - New Testament Reading and Psalm - Romans 6:3-11 and Psalm 114 - Gospel - Matthew 28:1-10",,,,http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AVigl,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter0
"Resurrection of the Lord","Apr 05, 2026","* Acts 10:34-43 or Jeremiah 31:1-6","Psalm 118:1-2, 14-24","Colossians 3:1-4 or Acts 10:34-43","John 20:1-18 or Matthew 28:1-10",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ARess,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter1
"Easter Evening","Apr 05, 2026","* Isaiah 25:6-9","Psalm 114","1 Corinthians 5:6b-8","Luke 24:13-49",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ARess,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter2
"Second Sunday of Easter","Apr 12, 2026","* Acts 2:14a, 22-32","Psalm 16","1 Peter 1:3-9","John 20:19-31",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter3
"Third Sunday of Easter","Apr 19, 2026","* Acts 2:14a, 36-41","Psalm 116:1-4, 12-19","1 Peter 1:17-23","Luke 24:13-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast03,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter4
"Fourth Sunday of Easter","Apr 26, 2026","* Acts 2:42-47","Psalm 23","1 Peter 2:19-25","John 10:1-10",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast04,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter5
"Fifth Sunday of Easter","May 03, 2026","* Acts 7:55-60","Psalm 31:1-5, 15-16","1 Peter 2:2-10","John 14:1-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast05,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter6
"Sixth Sunday of Easter","May 10, 2026","* Acts 17:22-31","Psalm 66:8-20","1 Peter 3:13-22","John 14:15-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast06,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter7
"Ascension of the Lord","May 14, 2026","* Acts 1:1-11","Psalm 47 or Psalm 93","Ephesians 1:15-23","Luke 24:44-53",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAscn,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter8
"Seventh Sunday of Easter","May 17, 2026","* Acts 1:6-14","Psalm 68:1-10, 32-35","1 Peter 4:12-14; 5:6-11","John 17:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEast07,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter9
"Day of Pentecost","May 24, 2026","* Acts 2:1-21 or Numbers 11:24-30","Psalm 104:24-34, 35b","1 Corinthians 12:3b-13 or Acts 2:1-21","John 20:19-23 or John 7:37-39",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=APDay,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=easter&d=easter10
"Visitation of Mary to Elizabeth","May 31, 2026","1 Samuel 2:1-10 Psalm 113","","Romans 12:9-16b","Luke 1:39-57",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AVis,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=visitation_of_mary_to_elizabeth_d
"Trinity Sunday","May 31, 2026","Genesis 1:1-2:4a Psalm 8","","2 Corinthians 13:11-13","Matthew 28:16-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ATrin,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=pentecost1
"Proper 5 (10)","Jun 07, 2026","Genesis 12:1-9 Psalm 33:1-12","Hosea 5:15-6:6 Psalm 50:7-15","Romans 4:13-25","Matthew 9:9-13, 18-26",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp05,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_5
"Proper 6 (11)","Jun 14, 2026","Genesis 18:1-15, (21:1-7) Psalm 116:1-2, 12-19","Exodus 19:2-8a Psalm 100","Romans 5:1-8","Matthew 9:35-10:8, (9-23)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp06,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_6
"Proper 7 (12)","Jun 21, 2026","Genesis 21:8-21 Psalm 86:1-10, 16-17","Jeremiah 20:7-13 Psalm 69:7-10, (11-15), 16-18","Romans 6:1b-11","Matthew 10:24-39",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp07,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_7
"Proper 8 (13)","Jun 28, 2026","Genesis 22:1-14 Psalm 13","Jeremiah 28:5-9 Psalm 89:1-4, 15-18","Romans 6:12-23","Matthew 10:40-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp08,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_8
"Proper 9 (14)","Jul 05, 2026","Genesis 24:34-38, 42-49, 58-67 Psalm 45:10-17 or Song of Solomon 2:8-13","Zechariah 9:9-12 Psalm 145:8-14","Romans 7:15-25a","Matthew 11:16-19, 25-30",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp09,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_9
"Proper 10 (15)","Jul 12, 2026","Genesis 25:19-34 Psalm 119:105-112","Isaiah 55:10-13 Psalm 65:(1-8), 9-13","Romans 8:1-11","Matthew 13:1-9, 18-23",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp10,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_10
