Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Fifth Sunday in Lent","Apr 06, 2025","Isaiah 43:16-21","Psalm 126","Philippians 3:4b-14","John 12:1-8",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CLent05,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent6
"Liturgy of the Palms","Apr 13, 2025","","Psalm 118:1-2, 19-29","","Luke 19:28-40",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CPalm,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent8
"Liturgy of the Passion","Apr 13, 2025","Isaiah 50:4-9a","Psalm 31:9-16","Philippians 2:5-11","Luke 22:14-23:56 or Luke 23:1-49",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CPass,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent9
"Monday of Holy Week","Apr 14, 2025","Isaiah 42:1-9","Psalm 36:5-11","Hebrews 9:11-15","John 12:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly01,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week1
"Tuesday of Holy Week","Apr 15, 2025","Isaiah 49:1-7","Psalm 71:1-14","1 Corinthians 1:18-31","John 12:20-36",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week2
"Wednesday of Holy Week","Apr 16, 2025","Isaiah 50:4-9a","Psalm 70","Hebrews 12:1-3","John 13:21-32",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly03,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week3
"Maundy Thursday","Apr 17, 2025","Exodus 12:1-4, (5-10), 11-14","Psalm 116:1-2, 12-19","1 Corinthians 11:23-26","John 13:1-17, 31b-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly04,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week4
"Good Friday","Apr 18, 2025","Isaiah 52:13-53:12","Psalm 22","Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9","John 18:1-19:42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly05,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week5
"Holy Saturday","Apr 19, 2025","Job 14:1-14 or Lamentations 3:1-9, 19-24","Psalm 31:1-4, 15-16","1 Peter 4:1-8","Matthew 27:57-66 or John 19:38-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoly06,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=holy_week&d=week6
"Easter Vigil","Apr 20, 2025","Old Testament Readings and Psalms - Genesis 1:1-2:4a and Psalm 136:1-9, 23-26 - Genesis 7:1-5, 11-18; 8:6-18; 9:8-13 and Psalm 46 - Genesis 22:1-18 and Psalm 16 - Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13, 17-18 - Isaiah 55:1-11 and Isaiah 12:2-6 - Baruch 3:9-15, 3:32-4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 and Psalm 19 - Ezekiel 36:24-28 and Psalm 42 and 43 - Ezekiel 37:1-14 and Psalm 143 - Zephaniah 3:14-20 and Psalm 98 - New Testament Reading and Psalm - Romans 6:3-11 and Psalm 114 - Gospel - Luke 24:1-12",,,,http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CVigl,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter0
"Resurrection of the Lord","Apr 20, 2025","* Acts 10:34-43 or Isaiah 65:17-25","Psalm 118:1-2, 14-24","1 Corinthians 15:19-26 or Acts 10:34-43","John 20:1-18 or Luke 24:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CRess,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter1
